NOM_USUEL;AAAAMMJJ;TN;TX
CLERMONT-FD;20000101;4.3;9.2
CLERMONT-FD;20000102;5.6;8.4
CLERMONT-FD;20000103;-1.7;7.3
CLERMONT-FD;20000104;-2.0;12.5
CLERMONT-FD;20000105;4.5;12.8
CLERMONT-FD;20000106;0.1;12.3
CLERMONT-FD;20000107;2.0;8.0
CLERMONT-FD;20000108;-0.9;7.0
CLERMONT-FD;20000109;3.3;6.7
CLERMONT-FD;20000110;1.7;2.8
CLERMONT-FD;20000111;0.9;2.9
CLERMONT-FD;20000112;-0.4;2.0
CLERMONT-FD;20000113;-9.4;6.9
CLERMONT-FD;20000114;-4.4;9.3
CLERMONT-FD;20000115;-2.0;5.1
CLERMONT-FD;20000116;-5.5;0.9
CLERMONT-FD;20000117;-6.1;2.8
CLERMONT-FD;20000118;0.5;5.0
CLERMONT-FD;20000119;2.1;4.4
CLERMONT-FD;20000120;-3.7;2.1
CLERMONT-FD;20000121;-2.6;2.2
CLERMONT-FD;20000122;1.0;4.7
CLERMONT-FD;20000123;1.4;3.7
CLERMONT-FD;20000124;-0.6;0.9
CLERMONT-FD;20000125;-6.9;-2.9
CLERMONT-FD;20000126;-9.7;4.8
CLERMONT-FD;20000127;-5.7;8.6
CLERMONT-FD;20000128;-1.9;11.5
CLERMONT-FD;20000129;0.7;11.2
CLERMONT-FD;20000130;10.1;13.3
CLERMONT-FD;20000131;1.6;13.2
CLERMONT-FD;20000201;1.1;18.1
CLERMONT-FD;20000202;9.8;13.7
CLERMONT-FD;20000203;3.3;7.7
CLERMONT-FD;20000204;-1.2;12.3
CLERMONT-FD;20000205;-0.5;17.0
CLERMONT-FD;20000206;0.0;17.3
CLERMONT-FD;20000207;6.7;12.6
CLERMONT-FD;20000208;9.1;14.0
CLERMONT-FD;20000209;5.3;10.5
CLERMONT-FD;20000210;-0.9;15.8
CLERMONT-FD;20000211;2.9;6.8
CLERMONT-FD;20000212;-4.2;7.9
CLERMONT-FD;20000213;2.9;8.9
CLERMONT-FD;20000214;4.5;12.3
CLERMONT-FD;20000215;7.5;13.9
CLERMONT-FD;20000216;3.6;9.2
CLERMONT-FD;20000217;1.5;8.1
CLERMONT-FD;20000218;0.7;13.1
CLERMONT-FD;20000219;6.5;10.1
CLERMONT-FD;20000220;1.4;6.0
CLERMONT-FD;20000221;-5.9;6.7
CLERMONT-FD;20000222;-5.1;7.8
CLERMONT-FD;20000223;-4.6;10.5
CLERMONT-FD;20000224;0.6;14.1
CLERMONT-FD;20000225;3.5;14.4
CLERMONT-FD;20000226;4.3;16.1
CLERMONT-FD;20000227;3.4;21.6
CLERMONT-FD;20000228;8.7;17.5
CLERMONT-FD;20000229;5.9;12.3
CLERMONT-FD;20000301;5.2;10.8
CLERMONT-FD;20000302;1.6;9.8
CLERMONT-FD;20000303;0.2;12.6
CLERMONT-FD;20000304;4.1;8.8
CLERMONT-FD;20000305;-6.1;8.1
CLERMONT-FD;20000306;-3.8;13.4
CLERMONT-FD;20000307;0.6;15.3
CLERMONT-FD;20000308;-2.5;16.0
CLERMONT-FD;20000309;1.9;18.9
CLERMONT-FD;20000310;4.1;14.9
CLERMONT-FD;20000311;2.4;19.1
CLERMONT-FD;20000312;3.5;14.6
CLERMONT-FD;20000313;-1.2;15.4
CLERMONT-FD;20000314;0.2;17.5
CLERMONT-FD;20000315;6.1;10.5
CLERMONT-FD;20000316;-3.3;11.7
CLERMONT-FD;20000317;5.5;12.7
CLERMONT-FD;20000318;7.0;8.3
CLERMONT-FD;20000319;3.0;8.0
CLERMONT-FD;20000320;2.8;13.0
CLERMONT-FD;20000321;0.2;17.1
CLERMONT-FD;20000322;2.7;18.4
CLERMONT-FD;20000323;8.3;16.3
CLERMONT-FD;20000324;7.3;13.5
CLERMONT-FD;20000325;4.0;17.0
CLERMONT-FD;20000326;4.6;10.6
CLERMONT-FD;20000327;0.7;9.4
CLERMONT-FD;20000328;2.4;9.1
CLERMONT-FD;20000329;2.6;6.2
CLERMONT-FD;20000330;2.3;11.1
CLERMONT-FD;20000331;0.0;13.5
CLERMONT-FD;20000401;4.7;12.7
CLERMONT-FD;20000402;0.1;16.7
CLERMONT-FD;20000403;7.7;17.3
CLERMONT-FD;20000404;1.6;15.2
CLERMONT-FD;20000405;5.0;7.1
CLERMONT-FD;20000406;3.7;6.7
CLERMONT-FD;20000407;0.7;12.5
CLERMONT-FD;20000408;-0.8;18.9
CLERMONT-FD;20000409;5.5;11.5
CLERMONT-FD;20000410;2.8;14.8
CLERMONT-FD;20000411;7.6;14.4
CLERMONT-FD;20000412;4.3;12.6
CLERMONT-FD;20000413;5.7;14.3
CLERMONT-FD;20000414;6.7;19.6
CLERMONT-FD;20000415;6.6;15.0
CLERMONT-FD;20000416;3.6;16.9
CLERMONT-FD;20000417;5.5;15.7
CLERMONT-FD;20000418;3.1;18.3
CLERMONT-FD;20000419;7.7;17.4
CLERMONT-FD;20000420;4.5;22.6
CLERMONT-FD;20000421;11.9;24.2
CLERMONT-FD;20000422;11.5;25.6
CLERMONT-FD;20000423;10.1;12.0
CLERMONT-FD;20000424;3.2;16.6
CLERMONT-FD;20000425;5.2;23.7
CLERMONT-FD;20000426;11.5;22.8
CLERMONT-FD;20000427;6.0;14.4
CLERMONT-FD;20000428;9.0;11.6
CLERMONT-FD;20000429;3.0;17.7
CLERMONT-FD;20000430;4.3;22.3
CLERMONT-FD;20000501;7.9;23.0
CLERMONT-FD;20000502;9.6;22.8
CLERMONT-FD;20000503;10.9;22.5
CLERMONT-FD;20000504;8.6;26.8
CLERMONT-FD;20000505;13.0;24.7
CLERMONT-FD;20000506;10.0;15.6
CLERMONT-FD;20000507;9.9;22.1
CLERMONT-FD;20000508;9.9;24.2
CLERMONT-FD;20000509;11.1;21.3
CLERMONT-FD;20000510;11.1;22.2
CLERMONT-FD;20000511;10.7;20.5
CLERMONT-FD;20000512;9.3;23.2
CLERMONT-FD;20000513;10.4;22.6
CLERMONT-FD;20000514;8.9;24.2
CLERMONT-FD;20000515;13.1;28.9
CLERMONT-FD;20000516;12.5;29.2
CLERMONT-FD;20000517;12.8;15.3
CLERMONT-FD;20000518;9.0;16.4
CLERMONT-FD;20000519;8.7;15.6
CLERMONT-FD;20000520;9.1;17.4
CLERMONT-FD;20000521;6.7;20.4
CLERMONT-FD;20000522;7.8;17.7
CLERMONT-FD;20000523;4.3;20.5
CLERMONT-FD;20000524;9.1;25.9
CLERMONT-FD;20000525;14.6;21.8
CLERMONT-FD;20000526;11.1;26.6
CLERMONT-FD;20000527;11.0;19.7
CLERMONT-FD;20000528;11.8;18.0
CLERMONT-FD;20000529;9.9;19.0
CLERMONT-FD;20000530;12.2;22.4
CLERMONT-FD;20000531;14.6;20.4
CLERMONT-FD;20000601;9.8;28.3
CLERMONT-FD;20000602;16.1;31.2
CLERMONT-FD;20000603;16.7;30.6
CLERMONT-FD;20000604;14.8;27.0
CLERMONT-FD;20000605;15.0;20.3
CLERMONT-FD;20000606;11.3;18.2
CLERMONT-FD;20000607;7.8;19.9
CLERMONT-FD;20000608;8.0;29.7
CLERMONT-FD;20000609;18.1;28.3
CLERMONT-FD;20000610;13.4;17.4
CLERMONT-FD;20000611;11.1;13.9
CLERMONT-FD;20000612;10.0;21.3
CLERMONT-FD;20000613;14.2;22.9
CLERMONT-FD;20000614;14.5;26.4
CLERMONT-FD;20000615;13.0;26.2
CLERMONT-FD;20000616;13.9;24.8
CLERMONT-FD;20000617;11.0;25.3
CLERMONT-FD;20000618;10.2;30.6
CLERMONT-FD;20000619;15.4;31.4
CLERMONT-FD;20000620;12.3;30.9
CLERMONT-FD;20000621;13.1;30.2
CLERMONT-FD;20000622;14.8;19.3
CLERMONT-FD;20000623;12.9;18.8
CLERMONT-FD;20000624;13.4;20.0
CLERMONT-FD;20000625;11.1;18.7
CLERMONT-FD;20000626;8.2;21.6
CLERMONT-FD;20000627;7.5;26.6
CLERMONT-FD;20000628;15.4;24.4
