NOM_USUEL;AAAAMMJJ;TN;TX
MONTPELLIER-AEROPORT;20000101;-1,4;9,7
MONTPELLIER-AEROPORT;20000102;1,6;14,6
MONTPELLIER-AEROPORT;20000103;2,3;9,5
MONTPELLIER-AEROPORT;20000104;5,9;13,7
MONTPELLIER-AEROPORT;20000105;1,5;15,6
MONTPELLIER-AEROPORT;20000106;3,9;12,6
MONTPELLIER-AEROPORT;20000107;1;16,5
MONTPELLIER-AEROPORT;20000108;2,1;12,3
MONTPELLIER-AEROPORT;20000109;6,4;9,9
MONTPELLIER-AEROPORT;20000110;5,8;11,5
MONTPELLIER-AEROPORT;20000111;2,1;10,9
MONTPELLIER-AEROPORT;20000112;-1,2;10,5
MONTPELLIER-AEROPORT;20000113;-3,4;9,1
MONTPELLIER-AEROPORT;20000114;3,8;10,8
MONTPELLIER-AEROPORT;20000115;6,6;13
MONTPELLIER-AEROPORT;20000116;1,9;8,7
MONTPELLIER-AEROPORT;20000117;2,1;10,7
MONTPELLIER-AEROPORT;20000118;-0,1;15,4
MONTPELLIER-AEROPORT;20000119;5;12,3
MONTPELLIER-AEROPORT;20000120;1,5;10,8
MONTPELLIER-AEROPORT;20000121;-2,7;11,8
MONTPELLIER-AEROPORT;20000122;-1,5;11,5
MONTPELLIER-AEROPORT;20000123;4;11,2
MONTPELLIER-AEROPORT;20000124;1,3;9,6
MONTPELLIER-AEROPORT;20000125;-1,2;0,8
MONTPELLIER-AEROPORT;20000126;-2;6,2
MONTPELLIER-AEROPORT;20000127;-1,1;4,1
MONTPELLIER-AEROPORT;20000128;-1,7;9,9
MONTPELLIER-AEROPORT;20000129;0;13,1
MONTPELLIER-AEROPORT;20000130;10,3;17,7
MONTPELLIER-AEROPORT;20000131;3,8;18,5
MONTPELLIER-AEROPORT;20000201;3,4;11,4
MONTPELLIER-AEROPORT;20000202;7,8;17,3
MONTPELLIER-AEROPORT;20000203;7,7;17,8
MONTPELLIER-AEROPORT;20000204;1,9;16,5
MONTPELLIER-AEROPORT;20000205;2,2;12,6
MONTPELLIER-AEROPORT;20000206;8,5;10,6
MONTPELLIER-AEROPORT;20000207;6,3;16,1
MONTPELLIER-AEROPORT;20000208;10,9;18
MONTPELLIER-AEROPORT;20000209;9,4;16,1
MONTPELLIER-AEROPORT;20000210;2,8;15,2
MONTPELLIER-AEROPORT;20000211;8,1;15
MONTPELLIER-AEROPORT;20000212;2,2;14,1
MONTPELLIER-AEROPORT;20000213;0,8;14,1
MONTPELLIER-AEROPORT;20000214;4,8;17,6
MONTPELLIER-AEROPORT;20000215;8,1;19,7
MONTPELLIER-AEROPORT;20000216;8,9;14,1
MONTPELLIER-AEROPORT;20000217;6,2;12,5
MONTPELLIER-AEROPORT;20000218;3,7;17,1
MONTPELLIER-AEROPORT;20000219;12;16,4
MONTPELLIER-AEROPORT;20000220;6,6;12,5
MONTPELLIER-AEROPORT;20000221;-1,4;13,5
MONTPELLIER-AEROPORT;20000222;-0,7;12,7
MONTPELLIER-AEROPORT;20000223;-2;13,9
MONTPELLIER-AEROPORT;20000224;-0,5;12,8
MONTPELLIER-AEROPORT;20000225;2,1;15,5
MONTPELLIER-AEROPORT;20000226;3,9;17,3
MONTPELLIER-AEROPORT;20000227;3,4;13,3
MONTPELLIER-AEROPORT;20000228;10,4;13,8
MONTPELLIER-AEROPORT;20000229;9,9;13,2
MONTPELLIER-AEROPORT;20000301;9;16
MONTPELLIER-AEROPORT;20000302;6,1;15,2
MONTPELLIER-AEROPORT;20000303;0,2;14,4
MONTPELLIER-AEROPORT;20000304;10,2;16,5
MONTPELLIER-AEROPORT;20000305;1;16,1
MONTPELLIER-AEROPORT;20000306;1,3;14,8
MONTPELLIER-AEROPORT;20000307;6,5;14,9
MONTPELLIER-AEROPORT;20000308;3,5;18,8
MONTPELLIER-AEROPORT;20000309;8,4;25,7
MONTPELLIER-AEROPORT;20000310;7,8;24,8
MONTPELLIER-AEROPORT;20000311;8;20
MONTPELLIER-AEROPORT;20000312;6,8;19,8
MONTPELLIER-AEROPORT;20000313;5,7;18
MONTPELLIER-AEROPORT;20000314;6,8;22,9
MONTPELLIER-AEROPORT;20000315;12,7;17,1
MONTPELLIER-AEROPORT;20000316;4,3;20,2
MONTPELLIER-AEROPORT;20000317;6,3;20,9
MONTPELLIER-AEROPORT;20000318;6,5;19,1
MONTPELLIER-AEROPORT;20000319;5,7;12,2
MONTPELLIER-AEROPORT;20000320;4,3;11,8
MONTPELLIER-AEROPORT;20000321;2,4;14,8
MONTPELLIER-AEROPORT;20000322;5,5;14,7
MONTPELLIER-AEROPORT;20000323;7,9;15,3
MONTPELLIER-AEROPORT;20000324;10,6;17,8
MONTPELLIER-AEROPORT;20000325;8,3;15,6
MONTPELLIER-AEROPORT;20000326;8,7;15,4
MONTPELLIER-AEROPORT;20000327;7,2;14,8
MONTPELLIER-AEROPORT;20000328;3;15,9
MONTPELLIER-AEROPORT;20000329;4,8;13,4
MONTPELLIER-AEROPORT;20000330;1,5;14,1
MONTPELLIER-AEROPORT;20000331;7,8;12,4
MONTPELLIER-AEROPORT;20000401;5,2;16,8
MONTPELLIER-AEROPORT;20000402;6,4;14,8
MONTPELLIER-AEROPORT;20000403;10,8;15,5
MONTPELLIER-AEROPORT;20000404;12,2;18,4
MONTPELLIER-AEROPORT;20000405;10,9;16,3
MONTPELLIER-AEROPORT;20000406;6,7;17,3
MONTPELLIER-AEROPORT;20000407;5;18,2
MONTPELLIER-AEROPORT;20000408;7;16,5
MONTPELLIER-AEROPORT;20000409;8,7;10,1
MONTPELLIER-AEROPORT;20000410;8,8;14,2
MONTPELLIER-AEROPORT;20000411;10,4;19
MONTPELLIER-AEROPORT;20000412;7,6;16,9
MONTPELLIER-AEROPORT;20000413;8,3;17,9
MONTPELLIER-AEROPORT;20000414;10,6;16,3
MONTPELLIER-AEROPORT;20000415;8,5;16,4
MONTPELLIER-AEROPORT;20000416;12,1;15,3
MONTPELLIER-AEROPORT;20000417;8,9;19,9
MONTPELLIER-AEROPORT;20000418;7,8;18,2
MONTPELLIER-AEROPORT;20000419;11,2;22,4
MONTPELLIER-AEROPORT;20000420;8,5;21,9
MONTPELLIER-AEROPORT;20000421;9,1;20,1
MONTPELLIER-AEROPORT;20000422;13,4;16,2
MONTPELLIER-AEROPORT;20000423;11,2;15,2
MONTPELLIER-AEROPORT;20000424;8,2;17,9
MONTPELLIER-AEROPORT;20000425;8,5;19,2
MONTPELLIER-AEROPORT;20000426;13,8;17,7
MONTPELLIER-AEROPORT;20000427;9,8;18,2
MONTPELLIER-AEROPORT;20000428;9,5;17,2
MONTPELLIER-AEROPORT;20000429;7,4;18,1
MONTPELLIER-AEROPORT;20000430;8,5;19
MONTPELLIER-AEROPORT;20000501;10,3;23,1
MONTPELLIER-AEROPORT;20000502;11,3;24,1
MONTPELLIER-AEROPORT;20000503;10,7;22,4
MONTPELLIER-AEROPORT;20000504;11,2;21,3
MONTPELLIER-AEROPORT;20000505;12,6;21,8
MONTPELLIER-AEROPORT;20000506;15;19,3
