NOM_USUEL;AAAAMMJJ;TN;TX
PARIS-MONTSOURIS;20000101;7;10
PARIS-MONTSOURIS;20000102;7;10
PARIS-MONTSOURIS;20000103;5,5;8,4
PARIS-MONTSOURIS;20000104;6,7;10,1
PARIS-MONTSOURIS;20000105;7,5;10,3
PARIS-MONTSOURIS;20000106;4,5;10,5
PARIS-MONTSOURIS;20000107;5,3;6,8
PARIS-MONTSOURIS;20000108;5;10,2
PARIS-MONTSOURIS;20000109;5,2;7,2
PARIS-MONTSOURIS;20000110;1,6;5,6
PARIS-MONTSOURIS;20000111;-2,6;-0,1
PARIS-MONTSOURIS;20000112;-2,2;2,4
PARIS-MONTSOURIS;20000113;0,3;2,7
PARIS-MONTSOURIS;20000114;2,1;5,9
PARIS-MONTSOURIS;20000115;1,3;5,6
PARIS-MONTSOURIS;20000116;0,2;5,8
PARIS-MONTSOURIS;20000117;3,8;9,3
PARIS-MONTSOURIS;20000118;4,2;7,8
PARIS-MONTSOURIS;20000119;5,1;6,3
PARIS-MONTSOURIS;20000120;2,9;6,9
PARIS-MONTSOURIS;20000121;4,6;7,4
PARIS-MONTSOURIS;20000122;3,8;6,4
PARIS-MONTSOURIS;20000123;3,1;6,3
PARIS-MONTSOURIS;20000124;-0,5;2,9
PARIS-MONTSOURIS;20000125;-3,3;2,3
PARIS-MONTSOURIS;20000126;-3,7;2,4
PARIS-MONTSOURIS;20000127;-4,7;4,1
PARIS-MONTSOURIS;20000128;-3,3;7,9
PARIS-MONTSOURIS;20000129;4,3;11,3
PARIS-MONTSOURIS;20000130;9,9;13,7
PARIS-MONTSOURIS;20000131;9,4;12,7
PARIS-MONTSOURIS;20000201;7,3;9
PARIS-MONTSOURIS;20000202;5,1;10,1
PARIS-MONTSOURIS;20000203;3;8,2
PARIS-MONTSOURIS;20000204;4,1;10
PARIS-MONTSOURIS;20000205;2,8;13,9
PARIS-MONTSOURIS;20000206;4,9;10,1
PARIS-MONTSOURIS;20000207;6,5;11,5
PARIS-MONTSOURIS;20000208;8,7;13,6
PARIS-MONTSOURIS;20000209;6,1;10,8
PARIS-MONTSOURIS;20000210;3,1;9,4
PARIS-MONTSOURIS;20000211;2,2;9,3
PARIS-MONTSOURIS;20000212;0,4;9,8
PARIS-MONTSOURIS;20000213;6,9;11,8
PARIS-MONTSOURIS;20000214;5,9;11,7
PARIS-MONTSOURIS;20000215;8,7;10,2
PARIS-MONTSOURIS;20000216;1,2;7,4
PARIS-MONTSOURIS;20000217;2,4;8,5
PARIS-MONTSOURIS;20000218;2,9;12,1
PARIS-MONTSOURIS;20000219;6,8;9,5
PARIS-MONTSOURIS;20000220;2,4;8,8
PARIS-MONTSOURIS;20000221;-0,1;9,5
PARIS-MONTSOURIS;20000222;4,8;9,2
PARIS-MONTSOURIS;20000223;4;11,6
PARIS-MONTSOURIS;20000224;8,5;12,9
PARIS-MONTSOURIS;20000225;7,3;11,1
PARIS-MONTSOURIS;20000226;3;10,9
PARIS-MONTSOURIS;20000227;3;18,2
PARIS-MONTSOURIS;20000228;7,5;10,3
PARIS-MONTSOURIS;20000229;5;9,8
PARIS-MONTSOURIS;20000301;5,2;9,5
PARIS-MONTSOURIS;20000302;2,3;10,5
PARIS-MONTSOURIS;20000303;7,9;11,1
PARIS-MONTSOURIS;20000304;3,2;8,2
PARIS-MONTSOURIS;20000305;1,2;10,7
PARIS-MONTSOURIS;20000306;0,3;11,5
PARIS-MONTSOURIS;20000307;4,1;15,1
PARIS-MONTSOURIS;20000308;8,3;16,7
PARIS-MONTSOURIS;20000309;8,7;13,9
PARIS-MONTSOURIS;20000310;10,5;14,3
PARIS-MONTSOURIS;20000311;5,7;11,6
PARIS-MONTSOURIS;20000312;6,5;13,5
PARIS-MONTSOURIS;20000313;5,2;15,2
PARIS-MONTSOURIS;20000314;8,2;16,6
PARIS-MONTSOURIS;20000315;5;11,1
PARIS-MONTSOURIS;20000316;5;13,2
PARIS-MONTSOURIS;20000317;8,1;13,4
PARIS-MONTSOURIS;20000318;7,3;12
PARIS-MONTSOURIS;20000319;4,9;13,1
PARIS-MONTSOURIS;20000320;3,2;11,8
PARIS-MONTSOURIS;20000321;4,3;17
PARIS-MONTSOURIS;20000322;4,9;18,4
PARIS-MONTSOURIS;20000323;8,8;18,5
PARIS-MONTSOURIS;20000324;10,1;15,2
PARIS-MONTSOURIS;20000325;8,6;13,1
PARIS-MONTSOURIS;20000326;4,1;11,4
PARIS-MONTSOURIS;20000327;4,3;11,4
PARIS-MONTSOURIS;20000328;5,5;8,5
PARIS-MONTSOURIS;20000329;3,7;6,7
PARIS-MONTSOURIS;20000330;5,7;8,6
PARIS-MONTSOURIS;20000331;5,3;13,7
PARIS-MONTSOURIS;20000401;3,8;9,6
PARIS-MONTSOURIS;20000402;4,3;16,9
PARIS-MONTSOURIS;20000403;9,1;16
PARIS-MONTSOURIS;20000404;7,2;17,8
PARIS-MONTSOURIS;20000405;4,1;6,9
PARIS-MONTSOURIS;20000406;3,5;10,6
PARIS-MONTSOURIS;20000407;4,2;15,1
PARIS-MONTSOURIS;20000408;5,7;17,6
PARIS-MONTSOURIS;20000409;7,8;14,3
PARIS-MONTSOURIS;20000410;8,4;16,3
PARIS-MONTSOURIS;20000411;3,6;12,2
PARIS-MONTSOURIS;20000412;3,6;12
PARIS-MONTSOURIS;20000413;4,4;13,5
PARIS-MONTSOURIS;20000414;5,9;10,9
PARIS-MONTSOURIS;20000415;7,6;10
PARIS-MONTSOURIS;20000416;2,3;13,9
PARIS-MONTSOURIS;20000417;6,9;15,1
PARIS-MONTSOURIS;20000418;8,4;17
PARIS-MONTSOURIS;20000419;9,7;17,1
PARIS-MONTSOURIS;20000420;9,8;19,9
PARIS-MONTSOURIS;20000421;9,4;18,8
PARIS-MONTSOURIS;20000422;13;17,4
PARIS-MONTSOURIS;20000423;10,5;13,9
PARIS-MONTSOURIS;20000424;7;16,4
PARIS-MONTSOURIS;20000425;10,7;22,4
PARIS-MONTSOURIS;20000426;13,2;16,3
PARIS-MONTSOURIS;20000427;10,7;13,8
PARIS-MONTSOURIS;20000428;10,6;16,5
PARIS-MONTSOURIS;20000429;7,2;20,1
PARIS-MONTSOURIS;20000430;12,1;22,3
PARIS-MONTSOURIS;20000501;11,6;22,4
PARIS-MONTSOURIS;20000502;12,3;15,6
PARIS-MONTSOURIS;20000503;10,6;13,9
PARIS-MONTSOURIS;20000504;11,1;18,8
PARIS-MONTSOURIS;20000505;12,2;25,2
PARIS-MONTSOURIS;20000506;12,5;26,1
PARIS-MONTSOURIS;20000507;15,3;25,6
PARIS-MONTSOURIS;20000508;14,9;24,7
PARIS-MONTSOURIS;20000509;15,2;27,2
PARIS-MONTSOURIS;20000510;15,4;26
PARIS-MONTSOURIS;20000511;13,5;23,1
PARIS-MONTSOURIS;20000512;13,3;24
PARIS-MONTSOURIS;20000513;14,2;26
PARIS-MONTSOURIS;20000514;15,4;27,6
PARIS-MONTSOURIS;20000515;16,4;28,7
PARIS-MONTSOURIS;20000516;17,1;28,7
PARIS-MONTSOURIS;20000517;12,5;17,9
PARIS-MONTSOURIS;20000518;10,8;17,3
PARIS-MONTSOURIS;20000519;9,5;15,2
PARIS-MONTSOURIS;20000520;7,2;17,8
PARIS-MONTSOURIS;20000521;9,9;16,8
PARIS-MONTSOURIS;20000522;8,5;18,9
PARIS-MONTSOURIS;20000523;11,9;22
PARIS-MONTSOURIS;20000524;13,7;21
PARIS-MONTSOURIS;20000525;12,2;18,4
PARIS-MONTSOURIS;20000526;9,4;22,6
PARIS-MONTSOURIS;20000527;8,9;18,2
PARIS-MONTSOURIS;20000528;10,8;16,8
